country,geometry_type,invalid_geometry_count,parsed_geometry_count,parse_error_count
Norway,Polygon,1,196,0
Pakistan,ALL_TYPES,0,93636,0
Pakistan,LineString,0,26702,0
Pakistan,MultiPolygon,0,30273,0
Pakistan,Point,0,36531,0
Pakistan,Polygon,0,130,0
Palau,ALL_TYPES,0,856,0
Palau,LineString,0,292,0
Palau,MultiPolygon,0,361,0
Palau,Point,0,203,0
Panama,ALL_TYPES,2,36176,0
Panama,LineString,0,13934,0
Panama,MultiPolygon,2,15953,0
Panama,Point,0,6244,0
Panama,Polygon,0,45,0
Papua New Guinea,ALL_TYPES,0,33407,0
Papua New Guinea,LineString,0,15650,0
Papua New Guinea,MultiPolygon,0,16445,0
Papua New Guinea,Point,0,1312,0
Paraguay,ALL_TYPES,0,450562,0
Paraguay,LineString,0,213832,0
Paraguay,MultiPolygon,0,219694,0
Paraguay,Point,0,16767,0
Paraguay,Polygon,0,269,0
Peru,ALL_TYPES,0,263611,0
Peru,LineString,0,69058,0
Peru,MultiPolygon,0,73614,0
Peru,Point,0,120723,0
Peru,Polygon,0,216,0
Philippines,ALL_TYPES,1,506110,0
Philippines,LineString,0,188328,0
Philippines,MultiPolygon,1,210719,0
Philippines,Point,0,107025,0
Philippines,Polygon,0,38,0
Pitcairn,ALL_TYPES,0,6,0
Pitcairn,MultiPolygon,0,6,0
Poland,ALL_TYPES,0,3486257,0
Poland,LineString,0,1403578,0
Poland,MultiPolygon,0,1456446,0
Poland,Point,0,625856,0
Poland,Polygon,0,377,0
Portugal,ALL_TYPES,0,697037,0
Portugal,LineString,0,268489,0
Portugal,MultiPolygon,0,283535,0
Portugal,Point,0,144723,0
Portugal,Polygon,0,290,0
Republic of Korea,ALL_TYPES,0,516954,0
Republic of Korea,LineString,0,163187,0
Republic of Korea,MultiPolygon,0,172347,0
Republic of Korea,Point,0,181414,0
Republic of Korea,Polygon,0,6,0
Romania,ALL_TYPES,1,254222,0
Romania,LineString,0,88813,0
Romania,MultiPolygon,0,94210,0
Romania,Point,0,68009,0
Romania,Polygon,1,3190,0
Russian Federation,ALL_TYPES,0,10119014,0
Russian Federation,LineString,0,4500087,0
